# Homebrew Version oracle: da12368691a124f3e22a00a02e6587e4f148f8d0
# Inputs: selected formula versions and exact-identity bottle runtime floors from the local registry snapshot, plus captured disagreement cases.
# identity	left	right	expected
abseil	20240116.2	20260817.0	-1
abseil	20240722.0	20260817.0	-1
abseil	20240722.1	20260817.0	-1
abseil	20250814.0	20260817.0	-1
abseil	20250814.1	20260817.0	-1
abseil	20260107.0	20260817.0	-1
abseil	20260107.1	20260817.0	-1
abseil	20260526.0	20260817.0	-1
abseil	20260817.0	20240116.2	1
abseil	20260817.0	20240722.0	1
abseil	20260817.0	20240722.1	1
abseil	20260817.0	20250814.0	1
abseil	20260817.0	20250814.1	1
abseil	20260817.0	20260107.0	1
abseil	20260817.0	20260107.1	1
abseil	20260817.0	20260526.0	1
ace	8.0.6	8.0.7	-1
ace	8.0.7	8.0.6	1
acl	2.3.2	2.4.0	-1
acl	2.4.0	2.3.2	1
ada-url	3.4.1	4.0.0	-1
ada-url	3.4.2	4.0.0	-1
ada-url	3.4.3	4.0.0	-1
ada-url	3.4.4	4.0.0	-1
ada-url	4.0.0	3.4.1	1
ada-url	4.0.0	3.4.2	1
ada-url	4.0.0	3.4.3	1
ada-url	4.0.0	3.4.4	1
adns	1.6.0	1.6.2	-1
adns	1.6.1	1.6.2	-1
adns	1.6.2	1.6.0	1
adns	1.6.2	1.6.1	1
adwaita-icon-theme	43	50.0	-1
adwaita-icon-theme	44.0	50.0	-1
adwaita-icon-theme	45.0	50.0	-1
adwaita-icon-theme	46.2	50.0	-1
adwaita-icon-theme	48.0	50.0	-1
adwaita-icon-theme	49.0	50.0	-1
adwaita-icon-theme	50.0	43	1
adwaita-icon-theme	50.0	44.0	1
adwaita-icon-theme	50.0	45.0	1
adwaita-icon-theme	50.0	46.2	1
adwaita-icon-theme	50.0	48.0	1
adwaita-icon-theme	50.0	49.0	1
alembic	1.8.11	1.8.12	-1
alembic	1.8.12	1.8.11	1
alsa-lib	1.2.10	1.2.16.1	-1
alsa-lib	1.2.11	1.2.16.1	-1
alsa-lib	1.2.12	1.2.16.1	-1
alsa-lib	1.2.13	1.2.16.1	-1
alsa-lib	1.2.14	1.2.16.1	-1
alsa-lib	1.2.15	1.2.16.1	-1
alsa-lib	1.2.15.1	1.2.16.1	-1
alsa-lib	1.2.15.3	1.2.16.1	-1
alsa-lib	1.2.16	1.2.16.1	-1
alsa-lib	1.2.16.1	1.2.10	1
alsa-lib	1.2.16.1	1.2.11	1
alsa-lib	1.2.16.1	1.2.12	1
alsa-lib	1.2.16.1	1.2.13	1
alsa-lib	1.2.16.1	1.2.14	1
alsa-lib	1.2.16.1	1.2.15	1
alsa-lib	1.2.16.1	1.2.15.1	1
alsa-lib	1.2.16.1	1.2.15.3	1
alsa-lib	1.2.16.1	1.2.16	1
alsa-lib	1.2.16.1	1.2.5.1	1
alsa-lib	1.2.16.1	1.2.6.1	1
alsa-lib	1.2.16.1	1.2.7.2	1
alsa-lib	1.2.16.1	1.2.8	1
alsa-lib	1.2.16.1	1.2.9	1
alsa-lib	1.2.5.1	1.2.16.1	-1
alsa-lib	1.2.6.1	1.2.16.1	-1
alsa-lib	1.2.7.2	1.2.16.1	-1
alsa-lib	1.2.8	1.2.16.1	-1
alsa-lib	1.2.9	1.2.16.1	-1
ansible	14.3.0	14.3.1	-1
ansible	14.3.1	14.3.0	1
ansilove	4.2.1	4.2.2	-1
ansilove	4.2.2	4.2.1	1
ant	1.10.13	1.10.17	-1
ant	1.10.14	1.10.17	-1
ant	1.10.15	1.10.17	-1
ant	1.10.17	1.10.13	1
ant	1.10.17	1.10.14	1
ant	1.10.17	1.10.15	1
aom	2.0.1	3.14.1	-1
aom	2.0.2	3.14.1	-1
aom	3.10.0	3.14.1	-1
aom	3.11.0	3.14.1	-1
aom	3.12.0	3.14.1	-1
aom	3.12.1	3.14.1	-1
aom	3.13.1	3.14.1	-1
aom	3.13.2	3.14.1	-1
